"","Dog breed","category","popularity ranking (1-173, 1 = most popular)","intelligence ranking","intelligence category","repetitions to understand new commands","obey first command (% of time)","life expectancy (years)","survey sample size","congenital ailments: summary / areas affected","No.","congenital ailments: detail","cuteness rating (adults)","total lifetime cost, $","average price (US $)","price bracket","lowest (US$)","highest (US$)","food per week, average, £","min, £","max, £","food per week, $","food per lifetime, $","total per lifetime, $","total  per year, $","total, per year, £","toys, presents, treats, per year, £","pet sitters, per year, £","grooming, per year, £","vet fees per year, £","kennels per year, £","one offs, $","grooming required","suitability for children","size category","weight (kg)","weight (lbs)","shoulder height (cm)","shoulder height (in)","note","source","link",""
"120","Otterhound","hound","169.0","46.0","Average","25-40",">50","10.8","41.0","hip problems","1.0","hip dysplasia","3.0",NA,NA,NA,NA,NA,"5.75","4.0","7.5","7.14819875","4028.131515","10526.12669","974.64136","784","121.0","126.0","244.0","177.0","116.0","200.0","week","high","large","44.22525608","97.5","64.77","25.5",NA,NA,NA,NA
"121","Papillon","toy","38.0","8.0","Brightest","<5",">95","13.0","100.0","cataracts, hair loss, heart, eye, blood clotting disorders","5.0","Cataracts, Follicular dysplasias, Mitral valve dysplasia, Progressive retinal atrophy, von Willebrand's disease","6.0","16983.33025","740","mid-price","400.0","1000.0","4","4.0","4.0","4.97266","3372.992573","12670.33768","974.64136","784","121.0","126.0","244.0","177.0","116.0","200.0","week","medium","small",NA,NA,"24.13","9.5",NA,NA,NA,NA
"122","Parson Russell Terrier","terrier","97.0",NA,NA,NA,NA,NA,"-","none","0.0","none","4.0",NA,"527.5","budget","150.0","850.0","5.75","4.0","7.5","7.14819875",NA,NA,"974.64136","784","121.0","126.0","244.0","177.0","116.0","200.0","week","medium","small","6.80388555","15","34.29","13.5",NA,NA,NA,NA
"123","Pekingese","toy","64.0","74.0","Lowest","80-100","<25","11.56","94.0","knee problems","1.0","Patellar luxation","6.0","16663.44674","885","mid-price","200.0","3800.0","5.75","4.0","7.5","7.14819875","4311.592622","11266.85412","974.64136","784","121.0","126.0","244.0","177.0","116.0","200.0","n/a","medium","small","5.89670081","13.0",NA,NA,"to weigh no more than 14 pounds",NA,NA,NA
"124","Pembroke Welsh Corgi","herding","25.0","11.0","Excellent","5-15",">85","12.25","116.0","cataracts + other eye problems, connective tissue, nerves, kidneys, spine, blood clotting disorders","9.0","Cataracts, Corneal dystrophy, Cutaneous asthenia (Ehlers-Danlos syndrome), Degenerative myelopathy, Familial kidney disease, Intervertebral disk disease, Persistent pupillary membranes (PPM), Retinal dysplasia, von Willebrand's disease","4.0",NA,"586.5","budget","375.0","750.0",NA,NA,NA,NA,NA,"11939.35666","974.64136","784","121.0","126.0","244.0","177.0","116.0","200.0","-","-","small","11.79340162","26","27.94","11",NA,NA,NA,NA
"125","Petit Basset Griffon Vendeen","hound","131.0","62.0","Fair","40-80",">30","12.7","45.0","none","0.0","none","5.0",NA,"400","budget","250.0","700.0",NA,NA,NA,NA,NA,"12377.94527","974.64136","784","121.0","126.0","244.0","177.0","116.0","200.0","-","-","small",NA,NA,"35.56","14","price: 3 puppies for sale only",NA,NA,NA
"126","Pharaoh Hound","hound","151.0","37.0","Above average","15-25",">70","11.83","15.0","none","0.0","none","2.0","17054.8032","912.5","mid-price","475.0","1000.0","5.75","4.0","7.5","7.14819875","4412.295909","11530.00729","974.64136","784","121.0","126.0","244.0","177.0","116.0","200.0","week","medium","medium",NA,NA,"58.42","23","price: 6 puppies for sale only",NA,NA,NA
"127","Plott","hound","145.0",NA,NA,NA,NA,NA,"-","none","0.0","none","3.0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"974.64136","784","121.0","126.0","244.0","177.0","116.0","200.0","-","-","medium","22.6796185","50","57.15","22.5",NA,NA,NA,NA
"128","Pointer","sporting","115.0","43.0","Average","25-40",">50","12.42","145.0","hip problems","1.0","hip dysplasia","3.0","19648.02584","293.75","budget","50.0","500.0","8.75","7.5","10.0","10.87769375","7049.230151","12105.04569","974.64136","784","121.0","126.0","244.0","177.0","116.0","200.0","week","high","large","26.98874602","59.5","64.77","25.5","English Pointer. price: 8 puppies for sale only",NA,NA,NA
"129","Polish Lowland Sheepdog","herding","159.0",NA,NA,NA,NA,"10.8","30.0",NA,NA,NA,"4.0",NA,NA,NA,NA,NA,"5.75","4.0","7.5","7.14819875","4028.131515","10526.12669","974.64136","784","121.0","126.0","244.0","177.0","116.0","200.0","week","medium","medium",NA,NA,"46.99","18.5",NA,NA,NA,NA
"130","Pomeranian","toy","17.0","23.0","Excellent","5-15",">85","9.67","29.0","heart problems","1.0","Patent ductus arteriosus (PDA)","6.0","12803.7695","670","budget","200.0","1500.0","4","4.0","4.0","4.97266","2508.987552","9424.781951","974.64136","784","121.0","126.0","244.0","177.0","116.0","200.0","week","medium","small","2.26796185","5",NA,NA,NA,NA,NA,NA
"131","Poodle","non-sporting","8.0","2.0","Brightest","<5",">95","11.95","1178.0","fatal stomach bloat, skin disorder","2.0","Gastric dilatation-volvulus (serious stomach disorder), sebaceous adenitis (skin disorder)","3.0","17204.01718","900","mid-price","500.0","1500.0","5.75","4.0","7.5","7.14819875","4457.052926","11646.96425","974.64136","784","121.0","126.0","244.0","177.0","116.0","200.0","week","medium","medium",NA,NA,"40.64","16.0","15 in is min height for standard poodle",NA,NA,NA
"132","Portuguese Water Dog","working","56.0",NA,NA,NA,NA,"11.42","6.0","none","0.0","none","4.0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11130.40433","974.64136","784","121.0","126.0","244.0","177.0","116.0","200.0","-","-","medium","21.54563758","47.5","50.8","20",NA,NA,NA,NA
"133","Pug","toy","26.0","57.0","Fair","40-80",">30","11.0","163.0","'dry eye'","1.0","Keratoconjunctivitis sicca (KCS) - ""dry eye""","1 or 6 depending on taste",NA,"469.4","budget","250.0","699.0",NA,NA,NA,NA,NA,"10721.05496","974.64136","784","121.0","126.0","244.0","177.0","116.0","200.0","-","-","medium",NA,NA,"40.64","16",NA,NA,NA,NA
"134","Puli","herding","156.0","27.0","Above average","15-25",">70",NA,"-","none","0.0","none","5.0",NA,"912.5","mid-price","700.0","1000.0",NA,NA,NA,NA,NA,NA,"974.64136","784","121.0","126.0","244.0","177.0","116.0","200.0","-","-","medium",NA,NA,"41.91","16.5",NA,NA,NA,NA
"135","Pyrenean Shepherd","herding","162.0",NA,NA,NA,NA,NA,"-",NA,NA,NA,"3.0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"974.64136","784","121.0","126.0","244.0","177.0","116.0","200.0","-","-","medium",NA,NA,"45.72","18",NA,NA,NA,NA
"136","Redbone Coonhound","hound","126.0",NA,NA,NA,NA,NA,"-","none","0.0","none","3.0",NA,"425","budget","300.0","700.0",NA,NA,NA,NA,NA,NA,"974.64136","784","121.0","126.0","244.0","177.0","116.0","200.0","-","-","large",NA,NA,"60.96","24",NA,NA,NA,NA
"137","Rhodesian Ridgeback","hound","44.0","52.0","Average","25-40",">50","9.1","10.0","birth defects, hip problems","2.0","dermoid sinus, Hip dysplasia","3.0","13458.31015","995","mid-price","750.0","1300.0","5.75","4.0","7.5","7.14819875","3394.073777","8869.236376","974.64136","784","121.0","126.0","244.0","177.0","116.0","200.0","week","medium","large","35.15340868","77.5","64.77","25.5",NA,NA,NA,NA
"138","Rottweiler","working","10.0","9.0","Brightest","<5",">95","9.11","654.0","heart, elbow, hip problems","3.0","Subaortic stenosis, Elbow dysplasia - OCD of the elbow, Hip dysplasia","2.0","15367.05338","1117.5","mid-price","300.0","1800.0","8.75","7.5","10.0","10.87769375","5170.570586","8878.98279","974.64136","784","121.0","126.0","244.0","177.0","116.0","200.0","week","medium","large",NA,NA,"62.23","24.5",NA,NA,NA,NA
"139","Saint Bernard","working","49.0","65.0","Fair","40-80",">30","7.78","93.0","heart, hip disorders, fatal stomach bloat","3.0","Dilated cardiomyopathy, Gastric dilatation-volvulus, Hip dysplasia","4.0","16227.4835","875","mid-price","450.0","1500.0","15","15.0","15.0","18.647475","7569.773717","7582.709781","974.64136","784","121.0","126.0","244.0","177.0","116.0","200.0","day","high","large","70.30681735","155","67.31","26.5",NA,NA,NA,NA
"140","Saluki","hound","117.0","43.0","Average","25-40",">50","12.0","132.0","none","0.0","none","2.0","20231.54671","1525","high-end","1000.0","1800.0","8.75","7.5","10.0","10.87769375","6810.850388","11695.69632","974.64136","784","121.0","126.0","244.0","177.0","116.0","200.0","day","high","medium",NA,NA,"58.42","23.0","lower end of range for males (23-28). females smaller",NA,NA,NA
"141","Samoyed","working","69.0","33.0","Above average","15-25",">70","12.44","232.0","hip problems","1.0","hip dysplasia","4.0","20547.12009","1162","mid-price","795.0","1400.0","8.75","7.5","10.0","10.87769375","7060.581569","12124.53852","974.64136","784","121.0","126.0","244.0","177.0","116.0","200.0","week","high","medium",NA,NA,"53.975","21.25",NA,NA,NA,NA
"142","Schipperke","non-sporting","105.0","15.0","Excellent","5-15",">85","13.0","36.0","hair loss, diabetes, skin problems","4.0","colour dilution alopecia, Diabetes mellitus, Follicular dysplasias, Pemphigus","3.0",NA,"657.5","budget","300.0","975.0",NA,NA,NA,NA,NA,"12670.33768","974.64136","784","121.0","126.0","244.0","177.0","116.0","200.0","-","-","small",NA,NA,"29.21","11.5",NA,NA,NA,NA
"143","Scottish Deerhound","hound","142.0","47.0","Average","25-40",">50","8.7","300.0","heart problems, fatal stomach bloat","2.0","Dilated cardiomyopathy, Gastric dilatation-volvulus","2.0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"8479.379832","974.64136","784","121.0","126.0","244.0","177.0","116.0","200.0","-","-","large","41.95729423","92.5",NA,NA,NA,NA,NA,NA
"144","Scottish Terrier","terrier","54.0","65.0","Fair","40-80",">30","10.69","342.0","blood clotting disorder","1.0","von Willebrand's disease","4.0","14221.55388","829","mid-price","400.0","2200.0","4","4.0","4.0","4.97266","2773.637739","10418.91614","974.64136","784","121.0","126.0","244.0","177.0","116.0","200.0","day","medium","small","9.0718474","20","25.4","10",NA,NA,NA,NA
"145","Sealyham Terrier","terrier","163.0","56.0","Fair","40-80",">30","12.25","12.0","eye problems","1.0","Retinal dysplasia","4.0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11939.35666","974.64136","784","121.0","126.0","244.0","177.0","116.0","200.0","-","-","small","10.88621688","24.0","26.67","10.5",NA,NA,NA,NA
"146","Shetland Sheepdog","herding","20.0","6.0","Brightest","<5",">95","12.53","439.0","eye problems, deafness, skin + heart problems, blood clotting disorders","5.0","Collie eye anomaly (CEA), deafness, Dermatomyositis and ulcerative dermatosis, Patent ductus arteriosus (PDA), von Willebrand's disease","4.0",NA,"465","budget","150.0","1000.0",NA,NA,NA,NA,NA,"12212.25624","974.64136","784","121.0","126.0","244.0","177.0","116.0","200.0","-","-","small",NA,NA,"36.83","14.5",NA,NA,NA,NA
"147","Shiba Inu","non-sporting","53.0",NA,NA,NA,NA,"7.0","3.0","hip problems","1.0","hip dysplasia","3.0",NA,"890","mid-price","650.0","1400.0",NA,NA,NA,NA,NA,"6822.48952","974.64136","784","121.0","126.0","244.0","177.0","116.0","200.0","-","-","small","9.0718474","20","38.1","15",NA,NA,NA,NA
"148","Shih Tzu","toy","11.0","70.0","Lowest","80-100","<25","13.2","97.0","eye problems","1.0","Exposure keratopathy syndrome (exophthalmos, lagophthalmos, and/or macroblepharon)","6.0","17072.65072","582.5","budget","275.0","1200.0","4","4.0","4.0","4.97266","3424.884766","12865.26595","974.64136","784","121.0","126.0","244.0","177.0","116.0","200.0","day","high","small","5.669904625","12.5","24.765","9.75",NA,NA,NA,NA
"149","Siberian Husky","working","16.0","45.0","Average","25-40",">50","12.58","129.0","none","0.0","none","2.0","17803.01557","650","budget","450.0","1000.0","5.75","4.0","7.5","7.14819875","4692.027265","12260.98831","974.64136","784","121.0","126.0","244.0","177.0","116.0","200.0","-","high","medium","21.54563758","47.5","55.245","21.75","Longevity based on UK KC Survey 2004","UK Kennel Club survey 2004","http://www.thekennelclub.org.uk/item/549",NA
"150","Silky Terrier","toy","85.0","37.0","Above average","15-25",">70","14.25","3.0","none","0.0","none","4.0",NA,"447.5","budget","250.0","500.0",NA,NA,NA,NA,NA,"13888.63938","974.64136","784","121.0","126.0","244.0","177.0","116.0","200.0","-","-","small","4.5359237","10.0","24.13","9.5",NA,NA,NA,NA
"151","Skye Terrier","terrier","164.0","55.0","Fair","40-80",">30","11.0","37.0","none","0.0","none","4.0",NA,"550","budget","500.0","600.0",NA,NA,NA,NA,NA,"10721.05496","974.64136","784","121.0","126.0","244.0","177.0","116.0","200.0","-","-","small","18.1436948","40","24.765","9.75",NA,NA,NA,NA
"152","Smooth Fox Terrier","terrier","113.0","40.0","Average","25-40",">50","13.17","44.0","none","0.0","none","3.0",NA,"575","budget","450.0","750.0",NA,NA,NA,NA,NA,"12836.02671","974.64136","784","121.0","126.0","244.0","177.0","116.0","200.0","-","-","small","7.937866475","17.5","38.1","15.0","Longevity: All fox terriers. Size: a full-sized, well balanced dog should not exceed 15½ inches at the withers--the bitch being proportionately lower. A dog with these measurements should scale 18 pounds in show condition--a bitch weighing some two pounds less-with a margin of one pound either way.",NA,NA,NA
"153","Soft-Coated Wheaten Terrier","terrier","52.0","40.0","Average","25-40",">50","12.16","345.0","none","0.0","none","4.0",NA,"831.5","mid-price","675.0","1000.0",NA,NA,NA,NA,NA,"11851.63894","974.64136","784","121.0","126.0","244.0","177.0","116.0","200.0","-","-","medium","15.87573295","35","45.72","18",NA,NA,NA,NA
"154","Spinone Italiano","sporting","123.0",NA,NA,NA,NA,"9.0","47.0",NA,NA,NA,"3.0",NA,"1725","high-end","1100.0","2000.0",NA,NA,NA,NA,NA,"8771.77224","974.64136","784","121.0","126.0","244.0","177.0","116.0","200.0","-","-","large",NA,NA,"62.23","24.5","4 dogs for sale only",NA,NA,NA
"155","Staffordshire Bull Terrier","terrier","76.0","49.0","Average","25-40",">50","12.05","157.0","hip problems","1.0","hip dysplasia","1.0","17583.67883","1144.9","mid-price","500.0","1500.0","5.75","4.0","7.5","7.14819875","4494.35044","11744.42839","974.64136","784","121.0","126.0","244.0","177.0","116.0","200.0","week","high","medium","14.06136347","31","38.1","15",NA,NA,NA,NA
"156","Standard Schnauzer","working","91.0","18.0","Excellent","5-15",">85",NA,"-","hip problems","1.0","hip dysplasia","3.0",NA,"855","mid-price","50.0","1500.0",NA,NA,NA,NA,NA,NA,"974.64136","784","121.0","126.0","244.0","177.0","116.0","200.0","-","-","medium",NA,NA,"46.99","18.5",NA,NA,NA,NA
"157","Sussex Spaniel","sporting","161.0",NA,NA,NA,NA,"11.17","42.0","none","0.0","none","4.0",NA,NA,NA,NA,NA,"5.75","4.0","7.5","7.14819875","4166.132317","10886.74399","974.64136","784","121.0","126.0","244.0","177.0","116.0","200.0","week","low","small","18.1436948","40","35.56","14",NA,NA,NA,NA
"158","Swedish Vallhund","herding","153.0",NA,NA,NA,NA,"14.17","7.0",NA,NA,NA,"3.0","18459.4522","772.2222222","mid-price","550.0","1000.0","4","4.0","4.0","4.97266","3676.561905","13810.66807","974.64136","784","121.0","126.0","244.0","177.0","116.0","200.0","week","high","small",NA,NA,"31.75","12.5",NA,NA,NA,NA
"159","Tibetan Mastiff","working","122.0",NA,NA,NA,NA,"11.92","10.0",NA,NA,NA,"2.0","19723.58868","3460","high-end","800.0","6500.0","5.75","4.0","7.5","7.14819875","4445.863672","11617.72501","974.64136","784","121.0","126.0","244.0","177.0","116.0","200.0","week","high","large",NA,NA,"63.5","25","5 dogs for sale only",NA,NA,NA
"160","Tibetan Spaniel","non-sporting","114.0","46.0","Average","25-40",">50","14.42","125.0","none","0.0","none","5.0","20682.62993","1050","mid-price","500.0","2000.0","5.75","4.0","7.5","7.14819875","5378.301523","14054.32841","974.64136","784","121.0","126.0","244.0","177.0","116.0","200.0","week","high","small","5.44310844","12","25.4","10",NA,NA,NA,NA
"161","Tibetan Terrier","non-sporting","86.0","62.0","Fair","40-80",">30","12.31","102.0","none","0.0","none","5.0","16531.79965","1140","mid-price","450.0","1600.0","4","4.0","4.0","4.97266","3193.964506","11997.83514","974.64136","784","121.0","126.0","244.0","177.0","116.0","200.0","week","medium","small","10.88621688","24","39.37","15.5",NA,NA,NA,NA
"162","Toy Fox Terrier","toy","101.0",NA,NA,NA,NA,NA,"-",NA,NA,NA,"4.0",NA,"460","budget","200.0","650.0",NA,NA,NA,NA,NA,NA,"974.64136","784","121.0","126.0","244.0","177.0","116.0","200.0","-","-","small",NA,NA,"25.4","10",NA,NA,NA,NA
"163","Vizsla","sporting","37.0","25.0","Excellent","5-15",">85","12.5","6.0","none","0.0","none","3.0",NA,"934.5","mid-price","800.0","1200.0",NA,NA,NA,NA,NA,"12183.017","974.64136","784","121.0","126.0","244.0","177.0","116.0","200.0","-","-","medium",NA,NA,"57.15","22.5",NA,NA,NA,NA
"164","Weimaraner","sporting","32.0","21.0","Excellent","5-15",">85",NA,"-","hip problems","1.0","hip dysplasia","3.0",NA,"562","budget","300.0","900.0","5.75","4.0","7.5","7.14819875",NA,NA,"974.64136","784","121.0","126.0","244.0","177.0","116.0","200.0","week","high","large",NA,NA,"63.5","25",NA,NA,NA,NA
"165","Welsh Springer Spaniel","sporting","130.0","31.0","Above average","15-25",">70","12.49","172.0","hip problems","1.0","hip dysplasia","5.0","16363.93807","750.0","mid-price","750.0","750.0","4","4.0","4.0","4.97266","3240.66748","12173.27059","974.64136","784","121.0","126.0","244.0","177.0","116.0","200.0","week","high","medium",NA,NA,"45.72","18","only one dog for sale",NA,NA,NA
"166","Welsh Terrier","terrier","99.0","53.0","Average","25-40",">50",NA,"-","none","0.0","none","4.0",NA,"842.5","mid-price","575.0","1250.0","4","4.0","4.0","4.97266",NA,NA,"974.64136","784","121.0","126.0","244.0","177.0","116.0","200.0","week","high","small","9.0718474","20.0","38.1","15.0",NA,NA,NA,NA
"167","West Highland White Terrier","terrier","35.0","47.0","Average","25-40",">50","12.8","80.0","'lion jaw', 'dry eye', skin problems","3.0","Craniomandibular osteopathy (""lion jaw""), Keratoconjunctivitis sicca (KCS) - ""dry eye"", seborrhea","6.0","16534.00979","537.5","budget","275.0","750.0","4","4.0","4.0","4.97266","3321.10038","12475.40941","974.64136","784","121.0","126.0","244.0","177.0","116.0","200.0","week","high","small",NA,NA,"26.67","10.5",NA,NA,NA,NA
"168","Whippet","hound","57.0","51.0","Average","25-40",">50","12.87","500.0","none","0.0","none","2.0","16997.89695","915","mid-price","650.0","1200.0","4","4.0","4.0","4.97266","3339.262647","12543.6343","974.64136","784","121.0","126.0","244.0","177.0","116.0","200.0","week","medium","medium",NA,NA,"50.8","20",NA,NA,NA,NA
"169","Wire Fox Terrier","terrier","100.0","51.0","Average","25-40",">50","13.17","44.0","none","0.0","none","4.0",NA,"667.5","budget","175.0","1600.0",NA,NA,NA,NA,NA,"12836.02671","974.64136","784","121.0","126.0","244.0","177.0","116.0","200.0","-","-","small","7.937866475","17.5","38.1","15.0","Longevity: All fox terriers. Should not exceed 15½ inches tall at the shoulder and 18 pounds.",NA,NA,NA
"170","Wirehaired Pointing Griffon","sporting","92.0","46.0","Average","25-40",">50","8.8","16.0","none","0.0","none","4.0",NA,"755","mid-price","750.0","800.0",NA,NA,NA,NA,NA,"8576.843968","974.64136","784","121.0","126.0","244.0","177.0","116.0","200.0","-","-","medium",NA,NA,"55.88","22",NA,NA,NA,NA
"171","Xoloitzcuintli","non-sporting","155.0",NA,NA,NA,NA,NA,"-",NA,NA,NA,"2.0",NA,"716.6666667","mid-price","300.0","2000.0",NA,NA,NA,NA,NA,NA,"974.64136","784","121.0","126.0","244.0","177.0","116.0","200.0","-","-","medium",NA,NA,"41.91","16.5",NA,NA,NA,NA
"172","Yorkshire Terrier","toy","5.0","27.0","Above average","15-25",">70","12.6","63.0","knee, liver, trachea, eye disorders","4.0","Patellar luxation, Portosystemic shunt, tracheal collapse, Retinal dysplasia","5.0","16806.68932","1057","mid-price","275.0","2800.0","4","4.0","4.0","4.97266","3269.208186","12280.48114","974.64136","784","121.0","126.0","244.0","177.0","116.0","200.0","day","low","small","2.494758035","5.5",NA,NA,NA,NA,NA,NA
"173",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"174","Sources - see right",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"category","American Kennel Club","http://www.akc.org/breeds/index.cfm?nav_area=breeds",NA
"175",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"intelligence","Stanley Coren: The Intelligence of Dogs. Based on dog trainer survey.  Based on ease of training, not all aspects of dog intelligence.","http://thehydrantblog.com/2011/05/03/the-intelligence-of-dogs-the-list/",NA
"176",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"longevity","Dr. Kelly M. Cassidy, 2007. Dog longevity. Secondary source based on several authoritative primary sources (listed on link, far right).","http://users.pullman.com/lostriver/breeddata.htm",NA
"177",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"diseases","Canine Inherited Disorders Database","http://ic.upei.ca/cidd/","http://users.pullman.com/lostriver/citations.htm"
"178",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"popularity","American Kennel Club (AKC), 2011","http://www.akc.org/reg/dogreg_stats.cfm",NA
"179",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"price","puppyfind.com, puppies for sale on 11 July 2012","http://www.puppyfind.com/browse/?sid=5aa35749188bc4d1ddf377c2fa42f9c0",NA
"180",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"size","American Kennel Club breed standards. Size is mean of ranges for both males and females.","http://www.akc.org/breeds/index.cfm?nav_area=breeds",NA
"181",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"food costs / grooming / suitability for children","Pet Planet breed profiles e.g.","http://www.petplanet.co.uk/dog_breed_profile.asp?dbid=207",NA
"182",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"other regular costs","Sainsbury's Finance 2011","http://sainsburysbank.thepressdesk.co.uk/pages/142/2011+releases.stm?article_id=732",NA
"183",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"one offs","k9lifesavers.org","http://k-9lifesavers.org/?p=416",NA
