"","Dog breed","category","datadog score","POPULARITY IN US","POPULARITY IN US","LIFETIME COST, $","5 LIFETIME COST","1 INTELLIGENCE (TRAINABILITY) ranking","INTELLIGENCE (TRAINABILITY) ranking","2 LONGEVITY","LONGEVITY","3 NO. OF GENETIC AILMENTS","GENETIC AILMENTS","4a average purchase price, US$","average purchase price, US$","4b food costs per year, US$","food costs per year, US$","5a grooming required","grooming required","5b suitability for children","suitability for children","ULTIMATE TOP DOG MEGA SCORE (with kids)","ULTIMATE TOP DATA DOG MEGA RANKING - without kids","ULTIMATE TOP DATA DOG MEGA RANKING - with kids","ULTIMATE TOP DOG MEGA SCORE","POPULAR RATING","size category","weight (kg)","weight (lbs)","shoulder height (cm)","shoulder height (in)","note","source","link","intelligence category","repetitions to understand new commands","obey first command (% of time)","longevity sample size - survey sample size","GENETIC DISEASES - congenital ailments: summary / areas affected","congenital ailments: summary / areas affected","4 LIFETIME COST, $","4 LIFETIME COST","average purchase price (US $)","price bracket","lowest (US$)","highest (US$)","food per week, average, £","min, £","max, £","food per week, $","food per year, $","food per lifetime, $","Other regular costs, total per lifetime, $","total  per year, $","total, per year, £","toys, presents, treats, per year, £","pet sitters, per year, £","grooming, per year, £","vet fees per year, £","kennels per year, £","one offs, $","","","",""
"68","Newfoundland","working","2.07","43.0","37","19351.0","0.6","34.0","0.6436781609","9.32","0.183908046","2.0","0.7777777778","1177.5","0.1264367816","709.7118328125","0.05747126437","2.0","0.75","1.0","1","3.447318008","68","58","2.072318008","43","large","56.69904625","125","68.58","27",NA,NA,NA,"Above average","15-25",">70","340.0","hip problems, heart defects","subaortic stenosis, hip dysplasia","15750.91794","0.5747126437","1177.5","mid-price","500.0","2000.0","8.75","7.5","10.0","10.87769375","567.5708656","5289.760468","9083.657475","974.64136","784","121.0","126.0","244.0","177.0","116.0","200.0",NA,NA,NA,NA
"69","German Shepherd","herding","2.06","2.0","2","17416.0","0.8","3.0","0.9770114943","9.73","0.2413793103","8.0","0.1111111111","819.5","0.4827586207","466.3820615625","0.2298850575","2.0","0.75","2.0","0.5","2.935823755","69","74","2.060823755","2","large",NA,NA,"60.96","24",NA,NA,NA,"Brightest","<5",">95","795.0","nerves, pancreas, blood (hemophilia), hip joints","Degenerative myelopathy (nerve disorder), Exocrine pancreatic insufficiency, Hemophilia, Hip dysplasia, Renal cystadenocarcinoma and nodular dermatofibrosis, Pannus - chronic superficial keratitis, Panosteitis, Perianal fistula

","14131.80855","0.7931034483","819.5","mid-price","400.0","1495.0","5.75","4.0","7.5","7.14819875","372.9751403","3629.048115","9483.260433","974.64136","784","121.0","126.0","244.0","177.0","116.0","200.0",NA,NA,NA,NA
"70","Pekingese","toy","2.05","64.0","52","20565.0","0.4","74.0","0.08045977011","11.56","0.5057471264","1.0","0.8888888889","885.0","0.4137931034","466.3820615625","0.2298850575","1.0","0.5","2.0","0.5","2.796934866","70","78","2.046934866","64","small","5.89670081","13.0",NA,NA,"to weigh no more than 14 pounds",NA,NA,"Lowest","80-100","<25","94.0","knee problems","Patellar luxation","16663.44674","0.3908045977","885","mid-price","200.0","3800.0","5.75","4.0","7.5","7.14819875","372.9751403","4311.592622","11266.85412","974.64136","784","121.0","126.0","244.0","177.0","116.0","200.0",NA,NA,NA,NA
"71","Old English Sheepdog","herding","2.04","84.0","63","22611.0","0.15","63.0","0.2068965517","11.19","0.4367816092","1.0","0.8888888889","831.5","0.4597701149","709.7118328125","0.05747126437","1.0","0.5","1.0","1","3.291187739","71","61","2.041187739","84","medium",NA,NA,"55.88","22.0",NA,NA,NA,"Fair","40-80",">30","111.0","hip problems","hip dysplasia","18288.8548","0.1264367816","831.5","mid-price","500.0","1000.0","8.75","7.5","10.0","10.87769375","567.5708656","6351.117987","10906.23682","974.64136","784","121.0","126.0","244.0","177.0","116.0","200.0",NA,NA,NA,NA
"72","Akita","working","1.95","47.0","41","20994.0","0.37","54.0","0.3103448276","10.16","0.2988505747","1.0","0.8888888889","1201.5","0.1034482759","709.7118328125","0.05747126437","2.0","0.75","3.0","0.0","2.328544061","72","86","1.953544061","47","large",NA,NA,"66.04","26",NA,NA,NA,"Average","25-40",">50","192.0","hip problems","hip dysplasia","17070.37621","0.3333333333","1201.5","mid-price","565.0","1800.0","8.75","7.5","10.0","10.87769375","567.5708656","5766.519995","9902.356218","974.64136","784","121.0","126.0","244.0","177.0","116.0","200.0",NA,NA,NA,NA
"73","Rhodesian Ridgeback","hound","1.91","44.0","38","16530.0","0.85","52.0","0.3333333333","9.1","0.1609195402","2.0","0.7777777778","995.0","0.2873563218","466.3820615625","0.2298850575","2.0","0.75","2.0","0.5","2.780651341","73","79","1.905651341","44","large","35.15340868","77.5","64.77","25.5",NA,NA,NA,"Average","25-40",">50","10.0","birth defects, hip problems","dermoid sinus, Hip dysplasia","13458.31015","0.8505747126","995","mid-price","750.0","1300.0","5.75","4.0","7.5","7.14819875","372.9751403","3394.073777","8869.236376","974.64136","784","121.0","126.0","244.0","177.0","116.0","200.0",NA,NA,NA,NA
"74","French Bulldog","non-sporting","1.9","18.0","18","17266.0","0.82","58.0","0.275862069","9.0","0.1149425287","0.0","1","1900.0","0.03448275862","466.3820615625","0.2298850575","2.0","0.75","1.0","1","3.272988506","74","62","1.897988506","18","medium","12.24699399","27.0",NA,NA,"must weigh 28 pounds or less",NA,NA,"Fair","40-80",">30","71.0","none","none","14228.5485","0.7701149425","1900","high-end","1300.0","3500.0","5.75","4.0","7.5","7.14819875","372.9751403","3356.776263","8771.77224","974.64136","784","121.0","126.0","244.0","177.0","116.0","200.0",NA,NA,NA,NA
"75","Borzoi","hound","1.89","102.0","71","16176.0","0.87","76.0","0.05747126437","9.08","0.1494252874","0.0","1","675.0","0.6436781609","466.3820615625","0.2298850575","1.0","0.5","2.0","0.5","2.643678161","75","82","1.893678161","102","large","37.42137053","82.5","71.12","28.0","At least 28 in tall (males), 26 (females)",NA,NA,"Lowest","80-100","<25","87.0","none","none","13111.35782","0.8850574713","675","budget","300.0","1250.0","5.75","4.0","7.5","7.14819875","372.9751403","3386.614274","8849.743549","974.64136","784","121.0","126.0","244.0","177.0","116.0","200.0",NA,NA,NA,NA
"76","Bernese Mountain Dog","working","1.85","34.0","31","16099.0","0.89","22.0","0.7816091954","7.56","0.06896551724","4.0","0.5555555556","1320.0","0.08045977011","709.7118328125","0.05747126437","2.0","0.75","1.0","1","3.225095785","76","63","1.850095785","34","large",NA,NA,"64.135","25.25",NA,NA,NA,"Excellent","5-15",">85","701.0","meningitis, elbow + hip problems, complex immune disorder","Meningitis, Elbow dysplasia - OCD of the elbow, Hip dysplasia, Histiocytosis","13179.12443","0.8735632184","1320","mid-price","750.0","2500.0","8.75","7.5","10.0","10.87769375","567.5708656","4290.835744","7368.288682","974.64136","784","121.0","126.0","244.0","177.0","116.0","200.0",NA,NA,NA,NA
"77","Bull Terrier","terrier","1.85","51.0","44","18490.0","0.69","66.0","0.1724137931","10.21","0.3103448276","2.0","0.7777777778","1085.0","0.1954022989","466.3820615625","0.2298850575","2.0","0.75","2.0","0.5","2.723180077","77","80","1.848180077","51","medium","27.2155422","60","54.61","21.5",NA,NA,NA,"Fair","40-80",">30","225.0","heart problems, zinc metabolism disorder","lethal acrodermatitis, Mitral valve dysplasia","15044.16447","0.6781609195","1085","mid-price","300.0","1750.0","5.75","4.0","7.5","7.14819875","372.9751403","3808.076182","9951.088286","974.64136","784","121.0","126.0","244.0","177.0","116.0","200.0",NA,NA,NA,NA
"78","Boxer","working","1.83","7.0","7","15746.0","0.94","48.0","0.3908045977","8.81","0.1034482759","4.0","0.5555555556","700.0","0.5862068966","466.3820615625","0.2298850575","2.0","0.75","1.0","1","3.207854406","78","64","1.832854406","7","medium",NA,NA,"59.055","23.25",NA,NA,NA,"Average","25-40",">50","2112.0","eye, nerve, heart problems","Corneal dystrophy, Degenerative myelopathy, Dilated cardiomyopathy, Subaortic stenosis","12772.50137","0.9425287356","700","mid-price","300.0","2500.0","5.75","4.0","7.5","7.14819875","372.9751403","3285.910986","8586.590382","974.64136","784","121.0","126.0","244.0","177.0","116.0","200.0",NA,NA,NA,NA
"79","Alaskan Malamute","working","1.82","58.0","47","21986.0","0.23","50.0","0.3563218391","10.67","0.3563218391","2.0","0.7777777778","1209.5","0.09195402299","709.7118328125","0.05747126437","1.0","0.5","2.0","0.5","2.5651341","79","83","1.8151341","58","large","36.2873896","80","60.96","24","Longevity based on UK KC Survey 2004","UK Kennel Club survey 2004","http://www.thekennelclub.org.uk/item/549","Average","25-40",">50","14.0","hip problems, dwarfism","Hip dysplasia, Osteochondrodysplasia - skeletal dwarfism","17864.90445","0.183908046","1209.5","mid-price","550.0","2350.0","8.75","7.5","10.0","10.87769375","567.5708656","6055.981136","10399.42331","974.64136","784","121.0","126.0","244.0","177.0","116.0","200.0",NA,NA,NA,NA
"80","Chow Chow","non-sporting","1.76","68.0","54","15898.0","0.91","77.0","0.04597701149","9.01","0.1264367816","2.0","0.7777777778","515.0","0.8850574713","466.3820615625","0.2298850575","1.0","0.5","2.0","0.5","2.507662835","80","85","1.757662835","68","medium",NA,NA,"46.99","18.5",NA,NA,NA,"Lowest","80-100","<25","38.0","eye, hip problems","Entropion, Hip dysplasia","12857.02467","0.9195402299","515","budget","200.0","750.0","5.75","4.0","7.5","7.14819875","372.9751403","3360.506014","8781.518654","974.64136","784","121.0","126.0","244.0","177.0","116.0","200.0",NA,NA,NA,NA
"81","Bloodhound","hound","1.66","48.0","42","13824.0","0.98","75.0","0.06896551724","6.75","0.03448275862","2.0","0.7777777778","607.5","0.7586206897","709.7118328125","0.05747126437","2.0","0.75","2.0","0.5","2.539272031","81","84","1.664272031","48","large","38.55535145","85","63.5","25",NA,NA,NA,"Lowest","80-100","<25","82.0","fatal stomach bloat, skin problems","Gastric dilatation-volvulus, Hip dysplasia","11217.43252","0.9885057471","607.5","budget","200.0","1000.0","8.75","7.5","10.0","10.87769375","567.5708656","3831.103343","6578.82918","974.64136","784","121.0","126.0","244.0","177.0","116.0","200.0",NA,NA,NA,NA
"82","Irish Wolfhound","hound","1.66","79.0","60","18435.0","0.7","41.0","0.5287356322","6.94","0.04597701149","3.0","0.6666666667","1333.33333333333","0.06896551724","1216.64885625","0.02298850575","2.0","0.75","1.0","1","3.037356322","82","70","1.662356322","79","large",NA,NA,"81.28","32",NA,NA,NA,"Average","25-40",">50","121.0","heart, liver, hip problems","Dilated cardiomyopathy, Hip dysplasia, Portosystemic shunt","15049.81604","0.6666666667","1333.333333","mid-price","800.0","1550.0","15","15.0","15.0","18.647475","972.9786268","6752.47167","6764.011038","974.64136","784","121.0","126.0","244.0","177.0","116.0","200.0",NA,NA,NA,NA
"83","Bullmastiff","working","1.64","40.0","35","13936.0","0.97","69.0","0.1379310345","7.57","0.08045977011","2.0","0.7777777778","980.0","0.2988505747","466.3820615625","0.2298850575","2.0","0.75","1.0","1","3.010536398","83","72","1.635536398","40","large","52.16312255","115","64.77","25.5",NA,NA,NA,"Fair","40-80",">30","103.0","eye, hip problems","Entropion, Hip dysplasia","11381.45691","0.9655172414","980","mid-price","600.0","1600.0","5.75","4.0","7.5","7.14819875","372.9751403","2823.421812","7378.035095","974.64136","784","121.0","126.0","244.0","177.0","116.0","200.0",NA,NA,NA,NA
"84","Mastiff","working","1.57","28.0","28","13581.0","0.99","72.0","0.1034482759","6.5","0.02298850575","2.0","0.7777777778","900.0","0.3793103448","701.30212425","0.1954022989","2.0","0.75","1.0","1.0","2.941570881","84","73","1.566570881","28","large","79.37866475","175","76.2","30.0","min weight for dogs",NA,NA,"Lowest","80-100","<25","94.0","hip, heart problems","Hip dysplasia, Pulmonic stenosis","10229.48202","1","900","mid-price","150.0","1200.0","-","-","-","8.239075","429.8943358","2794.313183","6335.16884","974.64136","784","121.0","126.0","244.0","177.0","116.0","200.0",NA,"http://www.vetstreet.com/dogs/mastiff#grooming","http://www.purina.com.au/sitecore/content/PurinaAustralia/Home/owning-a-dog/dog-breeds/Mastiff",NA
"85","Great Dane","working","1.53","19.0","19","14662.0","0.95","48.0","0.3908045977","6.96","0.05747126437","4.0","0.5555555556","1040.0","0.2528735632","709.7118328125","0.05747126437","2.0","0.75","1.0","1","2.909003831","85","75","1.534003831","19","large",NA,NA,"76.2","30","min height for males",NA,NA,"Average","25-40",">50","667.0","heart, spinal, hip problems, fatal stomach bloat","Dilated cardiomyopathy, Cervical vertebral instability (Wobbler syndrome), Gastric dilatation-volvulus, Hip dysplasia","11973.79709","0.9540229885","1040","mid-price","500.0","2500.0","8.75","7.5","10.0","10.87769375","567.5708656","3950.293225","6783.503866","974.64136","784","121.0","126.0","244.0","177.0","116.0","200.0",NA,NA,NA,NA
"86","Saint Bernard","working","1.42","49.0","43","20022.0","0.52","65.0","0.183908046","7.78","0.09195402299","3.0","0.6666666667","875.0","0.4252873563","1216.64885625","0.02298850575","1.0","0.5","1.0","1","2.666666667","86","81","1.416666667","49","large","70.30681735","155","67.31","26.5",NA,NA,NA,"Fair","40-80",">30","93.0","heart, hip disorders, fatal stomach bloat","Dilated cardiomyopathy, Gastric dilatation-volvulus, Hip dysplasia","16227.4835","0.4827586207","875","mid-price","450.0","1500.0","15","15.0","15.0","18.647475","972.9786268","7569.773717","7582.709781","974.64136","784","121.0","126.0","244.0","177.0","116.0","200.0",NA,NA,NA,NA
"87","Bulldog","non-sporting","0.99","6.0","6","13479.0","1.0","78.0","0.03448275862","6.29","0.01149425287","5.0","0.4444444444","2680.0","0.01149425287","466.3820615625","0.2298850575","2.0","0.75","2.0","0.5","1.861111111","87","87","0.9861111111","6","medium","20.41165665","45",NA,NA,"English bulldog",NA,NA,"Lowest","80-100","<25","197.0","breathing, hip, heart problems, 'dry eye'","brachycephalic syndrome, Hip dysplasia, Keratoconjunctivitis sicca (KCS) - ""dry eye"", Pulmonic stenosis, Ventricular septal defect (VSD)","11356.50779","0.9770114943","2680","high-end","1500.0","5500.0","5.75","4.0","7.5","7.14819875","372.9751403","2346.013632","6130.494154","974.64136","784","121.0","126.0","244.0","177.0","116.0","200.0",NA,NA,NA,NA
"88","Airedale Terrier","terrier",NA,"55.0",NA,NA,NA,"29.0",NA,"11.45",NA,"1.0",NA,"732.5",NA,NA,NA,"-",NA,"-",NA,NA,NA,NA,NA,NA,"medium",NA,NA,"58.42","23.0",NA,NA,NA,"Above average","15-25",">70","307.0","hip problems","hip dysplasia",NA,NA,"732.5","mid-price","475.0","1200.0",NA,NA,NA,NA,NA,NA,"11159.64357","974.64136","784","121.0","126.0","244.0","177.0","116.0","200.0",NA,NA,NA,NA
"89","American English Coonhound","hound",NA,"33.0",NA,NA,NA,NA,NA,"11.5",NA,NA,NA,"283.333333333333",NA,NA,NA,"-",NA,"-",NA,NA,NA,NA,NA,NA,"large",NA,NA,"62.23","24.5","6 dogs for sale only",NA,NA,NA,NA,NA,"-",NA,NA,NA,NA,"283.3333333","budget","100.0","350.0",NA,NA,NA,NA,NA,NA,NA,"974.64136","784","121.0","126.0","244.0","177.0","116.0","200.0",NA,NA,NA,NA
"90","American Eskimo Dog","non-sporting",NA,"116.0",NA,NA,NA,NA,NA,NA,NA,"0.0",NA,"560.0",NA,NA,NA,"-",NA,"-",NA,NA,NA,NA,NA,NA,"small",NA,NA,"35.56","14",NA,NA,NA,NA,NA,NA,"-","none","none",NA,NA,"560","budget","300.0","950.0",NA,NA,NA,NA,NA,NA,NA,"974.64136","784","121.0","126.0","244.0","177.0","116.0","200.0",NA,NA,NA,NA
"91","American Foxhound","hound",NA,"173.0",NA,NA,NA,"46.0",NA,NA,NA,NA,NA,"757.142857142857",NA,NA,NA,"-",NA,"-",NA,NA,NA,NA,NA,NA,"medium",NA,NA,"58.42","23","Price: only 7 puppies listed for this breed",NA,NA,"Average","25-40",">50","-",NA,NA,NA,NA,"757.1428571","mid-price","250.0","1000.0",NA,NA,NA,NA,NA,NA,NA,"974.64136","784","121.0","126.0","244.0","177.0","116.0","200.0",NA,NA,NA,NA
"92","American Staffordshire Terrier","terrier",NA,"72.0",NA,NA,NA,"34.0",NA,NA,NA,"1.0",NA,"1043.0",NA,NA,NA,"-",NA,"-",NA,NA,NA,NA,NA,NA,"medium",NA,NA,"45.72","18",NA,NA,NA,"Above average","15-25",">70","-","skin problems","Demodicosis/ Demodectic mange",NA,NA,"1043","mid-price","250.0","1500.0",NA,NA,NA,NA,NA,NA,NA,"974.64136","784","121.0","126.0","244.0","177.0","116.0","200.0",NA,NA,NA,NA
"93","American Water Spaniel","sporting",NA,"157.0",NA,NA,NA,"44.0",NA,NA,NA,"0.0",NA,"730.0",NA,NA,NA,"-",NA,"-",NA,NA,NA,NA,NA,NA,"medium","15.87573295","35","41.91","16.5",NA,NA,NA,"Average","25-40",">50","-","none","none",NA,NA,"730","mid-price","600.0","1250.0",NA,NA,NA,NA,NA,NA,NA,"974.64136","784","121.0","126.0","244.0","177.0","116.0","200.0",NA,NA,NA,NA
"94","Anatolian Shepherd Dog","working",NA,"111.0",NA,NA,NA,NA,NA,"10.75",NA,NA,NA,NA,NA,NA,NA,"2.0",NA,"2.0",NA,NA,NA,NA,NA,NA,"large","52.16312255","115","71.12","28",NA,NA,NA,NA,NA,NA,"23.0",NA,NA,NA,NA,NA,NA,NA,NA,"8.75","7.5","10.0","10.87769375",NA,"6101.386806","10477.39462","974.64136","784","121.0","126.0","244.0","177.0","116.0","200.0",NA,NA,NA,NA
"95","Bearded Collie","herding",NA,"112.0",NA,NA,NA,"34.0",NA,"12.77",NA,"0.0",NA,NA,NA,NA,NA,"1.0",NA,"1.0",NA,NA,NA,NA,NA,NA,"medium",NA,NA,"53.34","21",NA,NA,NA,"Above average","15-25",">70","551.0","none","none",NA,NA,NA,NA,NA,NA,"5.75","4.0","7.5","7.14819875",NA,"4762.892541","12446.17017","974.64136","784","121.0","126.0","244.0","177.0","116.0","200.0",NA,NA,NA,NA
"96","Beauceron","herding",NA,"144.0",NA,NA,NA,NA,NA,NA,NA,NA,NA,"966.666666666667",NA,NA,NA,"-",NA,"-",NA,NA,NA,NA,NA,NA,"large",NA,NA,"65.405","25.75","3 dogs for sale only",NA,NA,NA,NA,NA,"-",NA,NA,NA,NA,"966.6666667","mid-price","950.0","1000.0",NA,NA,NA,NA,NA,NA,NA,"974.64136","784","121.0","126.0","244.0","177.0","116.0","200.0",NA,NA,NA,NA
"97","Belgian Malinois","herding",NA,"74.0",NA,NA,NA,"22.0",NA,NA,NA,"0.0",NA,"1080.0",NA,NA,NA,"2.0",NA,"1.0",NA,NA,NA,NA,NA,NA,"large",NA,NA,"60.96","24",NA,NA,NA,"Excellent","5-15",">85","-","none","none",NA,NA,"1080","mid-price","550.0","2000.0","5.75","4.0","7.5","7.14819875",NA,NA,NA,"974.64136","784","121.0","126.0","244.0","177.0","116.0","200.0",NA,NA,NA,NA
"98","Belgian Sheepdog","herding",NA,"118.0",NA,NA,NA,"15.0",NA,NA,NA,"4.0",NA,NA,NA,NA,NA,"-",NA,"-",NA,NA,NA,NA,NA,NA,"large",NA,NA,"60.96","24",NA,NA,NA,"Excellent","5-15",">85","-","cataracts + other eye problems, muscular dystrophy","Cataracts, Pannus - chronic superficial keratitis, Progressive retinal atrophy, X-linked muscular dystrophy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"974.64136","784","121.0","126.0","244.0","177.0","116.0","200.0",NA,NA,NA,NA
"99","Black and Tan Coonhound","hound",NA,"109.0",NA,NA,NA,"44.0",NA,NA,NA,"0.0",NA,"325.0",NA,NA,NA,"-",NA,"-",NA,NA,NA,NA,NA,NA,"large",NA,NA,"63.5","25",NA,NA,NA,"Average","25-40",">50","-","none","none",NA,NA,"325","budget","200.0","500.0",NA,NA,NA,NA,NA,NA,NA,"974.64136","784","121.0","126.0","244.0","177.0","116.0","200.0",NA,NA,NA,NA
"100","Black Russian Terrier","working",NA,"128.0",NA,NA,NA,NA,NA,"1.83 - really?",NA,"0.0",NA,"2833.33333333333",NA,NA,NA,"-",NA,"-",NA,NA,NA,NA,NA,NA,"large",NA,NA,"71.12","28","3 dogs for sale only",NA,NA,NA,NA,NA,"4.0","none","none",NA,NA,"2833.333333","high-end","2500.0","3000.0",NA,NA,NA,NA,NA,NA,NA,"974.64136","784","121.0","126.0","244.0","177.0","116.0","200.0",NA,NA,NA,NA
"101","Bluetick Coonhound","hound",NA,"136.0",NA,NA,NA,NA,NA,NA,NA,"0.0",NA,"370.0",NA,NA,NA,"-",NA,"-",NA,NA,NA,NA,NA,NA,"large","28.34952313","62.5","60.96","24",NA,NA,NA,NA,NA,NA,"-","none","none",NA,NA,"370","budget","200.0","500.0",NA,NA,NA,NA,NA,NA,NA,"974.64136","784","121.0","126.0","244.0","177.0","116.0","200.0",NA,NA,NA,NA
"102","Boykin Spaniel","sporting",NA,"138.0",NA,NA,NA,NA,NA,NA,NA,NA,NA,"531.25",NA,NA,NA,"-",NA,"-",NA,NA,NA,NA,NA,NA,"medium",NA,NA,"40.64","16",NA,NA,NA,NA,NA,NA,"-",NA,NA,NA,NA,"531.25","budget","200.0","800.0",NA,NA,NA,NA,NA,NA,NA,"974.64136","784","121.0","126.0","244.0","177.0","116.0","200.0",NA,NA,NA,NA
"103","Canaan Dog","herding",NA,"168.0",NA,NA,NA,NA,NA,"14.67",NA,"0.0",NA,NA,NA,NA,NA,"2.0",NA,"1.0",NA,NA,NA,NA,NA,NA,"medium","20.41165665","45","54.61","21.5",NA,NA,NA,NA,NA,NA,"2.0","none","none",NA,NA,NA,NA,NA,NA,"5.75","4.0","7.5","7.14819875",NA,"5471.545308","14297.98875","974.64136","784","121.0","126.0","244.0","177.0","116.0","200.0",NA,NA,NA,NA
"104","Cane Corso","working",NA,"67.0",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1070.0",NA,NA,NA,"-",NA,"-",NA,NA,NA,NA,NA,NA,"large",NA,NA,"63.5","25",NA,NA,NA,NA,NA,NA,"-",NA,NA,NA,NA,"1070","mid-price","900.0","1500.0",NA,NA,NA,NA,NA,NA,NA,"974.64136","784","121.0","126.0","244.0","177.0","116.0","200.0",NA,NA,NA,NA
"105","Cardigan Welsh Corgi","herding",NA,"81.0",NA,NA,NA,"26.0",NA,"12.7",NA,"0.0",NA,"828.0",NA,NA,NA,"-",NA,"-",NA,NA,NA,NA,NA,NA,"small","14.28815966","31.5","29.21","11.5",NA,NA,NA,"Excellent","5-15",">85","53.0","none","none",NA,NA,"828","mid-price","395.0","1085.0",NA,NA,NA,NA,NA,NA,"12377.94527","974.64136","784","121.0","126.0","244.0","177.0","116.0","200.0",NA,NA,NA,NA
"106","Cesky Terrier","terrier",NA,"106.0",NA,NA,NA,NA,NA,"8.42",NA,NA,NA,NA,NA,NA,NA,"2.0",NA,"1.0",NA,NA,NA,NA,NA,NA,"small","8.61825503","19","29.21","11.5",NA,NA,NA,NA,NA,NA,"9.0",NA,NA,NA,NA,NA,NA,NA,NA,"5.75","4.0","7.5","7.14819875",NA,"3140.450681","8206.480251","974.64136","784","121.0","126.0","244.0","177.0","116.0","200.0",NA,NA,NA,NA
"107","Chinese Crested","toy",NA,"61.0",NA,NA,NA,"61.0",NA,"10.08",NA,NA,NA,"537.5",NA,NA,NA,"-",NA,"-",NA,NA,NA,NA,NA,NA,"small",NA,NA,"30.48","12",NA,NA,NA,"Fair","40-80",">30","829.0",NA,NA,NA,NA,"537.5","budget","125.0","1300.0",NA,NA,NA,NA,NA,NA,"9824.384909","974.64136","784","121.0","126.0","244.0","177.0","116.0","200.0",NA,NA,NA,NA
"108","Chinese Shar Pei","non-sporting",NA,"50.0",NA,NA,NA,"51.0",NA,NA,NA,"4.0",NA,"840.0",NA,NA,NA,"-",NA,"-",NA,NA,NA,NA,NA,NA,"medium","23.81359943","52.5","48.26","19",NA,NA,NA,"Average","25-40",">50","-","canine hay fever, skin, eye, hip problems","Atopy, Demodicosis/ Demodectic mange, Entropion, Hip dysplasia",NA,NA,"840","mid-price","350.0","2000.0",NA,NA,NA,NA,NA,NA,NA,"974.64136","784","121.0","126.0","244.0","177.0","116.0","200.0",NA,NA,NA,NA
"109","Collie","herding",NA,"36.0",NA,NA,NA,"16.0",NA,NA,NA,"2.0",NA,"650.0",NA,NA,NA,"-",NA,"-",NA,NA,NA,NA,NA,NA,"large","28.34952313","62.5","60.96","24",NA,NA,NA,"Excellent","5-15",">85","-","eye, skin and muscle disorders","Collie eye anomaly (CEA), Dermatomyositis and ulcerative dermatosis",NA,NA,"650","budget","350.0","950.0",NA,NA,NA,NA,NA,NA,NA,"974.64136","784","121.0","126.0","244.0","177.0","116.0","200.0",NA,NA,NA,NA
"110","Curly Coated Retriever","sporting",NA,"154.0",NA,NA,NA,"41.0",NA,"10.75",NA,"0.0",NA,NA,NA,NA,NA,"2.0",NA,"2.0",NA,NA,NA,NA,NA,NA,"large",NA,NA,"63.5","25",NA,NA,NA,"Average","25-40",">50","40.0","none","none",NA,NA,NA,NA,NA,NA,"8.75","7.5","10.0","10.87769375",NA,"6101.386806","10477.39462","974.64136","784","121.0","126.0","244.0","177.0","116.0","200.0",NA,NA,NA,NA
"111","English Foxhound","hound",NA,"171.0",NA,NA,NA,"46.0",NA,NA,NA,"0.0",NA,NA,NA,NA,NA,"-",NA,"-",NA,NA,NA,NA,NA,NA,"large",NA,NA,"60.96","24.0",NA,NA,NA,"Average","25-40",">50","-","none","none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"974.64136","784","121.0","126.0","244.0","177.0","116.0","200.0",NA,NA,NA,NA
"112","Entlebucher Mountain Dog","herding",NA,"146.0",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1166.66666666667",NA,NA,NA,"-",NA,"-",NA,NA,NA,NA,NA,NA,"medium",NA,NA,"46.99","18.5","3 dogs for sale only",NA,NA,NA,NA,NA,"-",NA,NA,NA,NA,"1166.666667","mid-price","1000.0","1300.0",NA,NA,NA,NA,NA,NA,NA,"974.64136","784","121.0","126.0","244.0","177.0","116.0","200.0",NA,NA,NA,NA
