"","Dog breed","category","datadog score","POPULARITY IN US","POPULARITY IN US","LIFETIME COST, $","5 LIFETIME COST","1 INTELLIGENCE (TRAINABILITY) ranking","INTELLIGENCE (TRAINABILITY) ranking","2 LONGEVITY","LONGEVITY","3 NO. OF GENETIC AILMENTS","GENETIC AILMENTS","4a average purchase price, US$","average purchase price, US$","4b food costs per year, US$","food costs per year, US$","5a grooming required","grooming required","5b suitability for children","suitability for children","ULTIMATE TOP DOG MEGA SCORE (with kids)","ULTIMATE TOP DATA DOG MEGA RANKING - without kids","ULTIMATE TOP DATA DOG MEGA RANKING - with kids","ULTIMATE TOP DOG MEGA SCORE","POPULAR RATING","size category","weight (kg)","weight (lbs)","shoulder height (cm)","shoulder height (in)","note","source","link","intelligence category","repetitions to understand new commands","obey first command (% of time)","longevity sample size - survey sample size","GENETIC DISEASES - congenital ailments: summary / areas affected","congenital ailments: summary / areas affected","4 LIFETIME COST, $","4 LIFETIME COST","average purchase price (US $)","price bracket","lowest (US$)","highest (US$)","food per week, average, £","min, £","max, £","food per week, $","food per year, $","food per lifetime, $","Other regular costs, total per lifetime, $","total  per year, $","total, per year, £","toys, presents, treats, per year, £","pet sitters, per year, £","grooming, per year, £","vet fees per year, £","kennels per year, £","one offs, $","","","",""
"144","NOT POSSIBLE IF NO INTELLIGENCE DATA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"145","Nova Scotia Duck Tolling Retriever","sporting",NA,"107.0",NA,"12653.0",NA,NA,NA,"6.5",NA,"1.0",NA,"1500.0",NA,NA,NA,"2.0",NA,"1.0",NA,NA,NA,NA,NA,NA,"medium",NA,NA,"48.26","19","4 dogs for sale only",NA,NA,NA,NA,NA,"150.0","hip problems","hip dysplasia","10459.50725",NA,"1500","high-end","1500.0","1500.0","5.75","4.0","7.5","7.14819875",NA,"2424.338412","6335.16884","974.64136","784","121.0","126.0","244.0","177.0","116.0","200.0",NA,NA,NA,NA
"146","Otterhound","hound",NA,"169.0",NA,NA,NA,"46.0",NA,"10.8",NA,"1.0",NA,NA,NA,NA,NA,"2.0",NA,"1.0",NA,NA,NA,NA,NA,NA,"large","44.22525608","97.5","64.77","25.5",NA,NA,NA,"Average","25-40",">50","41.0","hip problems","hip dysplasia",NA,NA,NA,NA,NA,NA,"5.75","4.0","7.5","7.14819875",NA,"4028.131515","10526.12669","974.64136","784","121.0","126.0","244.0","177.0","116.0","200.0",NA,NA,NA,NA
"147","Parson Russell Terrier","terrier",NA,"97.0",NA,NA,NA,NA,NA,NA,NA,"0.0",NA,"527.5",NA,NA,NA,"2.0",NA,"2.0",NA,NA,NA,NA,NA,NA,"small","6.80388555","15","34.29","13.5",NA,NA,NA,NA,NA,NA,"-","none","none",NA,NA,"527.5","budget","150.0","850.0","5.75","4.0","7.5","7.14819875",NA,NA,NA,"974.64136","784","121.0","126.0","244.0","177.0","116.0","200.0",NA,NA,NA,NA
"148","Petit Basset Griffon Vendeen","hound",NA,"131.0",NA,NA,NA,"62.0",NA,"12.7",NA,"0.0",NA,"400.0",NA,NA,NA,"-",NA,"-",NA,NA,NA,NA,NA,NA,"small",NA,NA,"35.56","14","price: 3 puppies for sale only",NA,NA,"Fair","40-80",">30","45.0","none","none",NA,NA,"400","budget","250.0","700.0",NA,NA,NA,NA,NA,NA,"12377.94527","974.64136","784","121.0","126.0","244.0","177.0","116.0","200.0",NA,NA,NA,NA
"149","Plott","hound",NA,"145.0",NA,NA,NA,NA,NA,NA,NA,"0.0",NA,NA,NA,NA,NA,"-",NA,"-",NA,NA,NA,NA,NA,NA,"medium","22.6796185","50","57.15","22.5",NA,NA,NA,NA,NA,NA,"-","none","none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"974.64136","784","121.0","126.0","244.0","177.0","116.0","200.0",NA,NA,NA,NA
"150","Polish Lowland Sheepdog","herding",NA,"159.0",NA,NA,NA,NA,NA,"10.8",NA,NA,NA,NA,NA,NA,NA,"2.0",NA,"2.0",NA,NA,NA,NA,NA,NA,"medium",NA,NA,"46.99","18.5",NA,NA,NA,NA,NA,NA,"30.0",NA,NA,NA,NA,NA,NA,NA,NA,"5.75","4.0","7.5","7.14819875",NA,"4028.131515","10526.12669","974.64136","784","121.0","126.0","244.0","177.0","116.0","200.0",NA,NA,NA,NA
"151","Portuguese Water Dog","working",NA,"56.0",NA,NA,NA,NA,NA,"11.42",NA,"0.0",NA,NA,NA,NA,NA,"-",NA,"-",NA,NA,NA,NA,NA,NA,"medium","21.54563758","47.5","50.8","20",NA,NA,NA,NA,NA,NA,"6.0","none","none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11130.40433","974.64136","784","121.0","126.0","244.0","177.0","116.0","200.0",NA,NA,NA,NA
"152","Puli","herding",NA,"156.0",NA,NA,NA,"27.0",NA,NA,NA,"0.0",NA,"912.5",NA,NA,NA,"-",NA,"-",NA,NA,NA,NA,NA,NA,"medium",NA,NA,"41.91","16.5",NA,NA,NA,"Above average","15-25",">70","-","none","none",NA,NA,"912.5","mid-price","700.0","1000.0",NA,NA,NA,NA,NA,NA,NA,"974.64136","784","121.0","126.0","244.0","177.0","116.0","200.0",NA,NA,NA,NA
"153","Pyrenean Shepherd","herding",NA,"162.0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-",NA,"-",NA,NA,NA,NA,NA,NA,"medium",NA,NA,"45.72","18",NA,NA,NA,NA,NA,NA,"-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"974.64136","784","121.0","126.0","244.0","177.0","116.0","200.0",NA,NA,NA,NA
"154","Redbone Coonhound","hound",NA,"126.0",NA,NA,NA,NA,NA,NA,NA,"0.0",NA,"425.0",NA,NA,NA,"-",NA,"-",NA,NA,NA,NA,NA,NA,"large",NA,NA,"60.96","24",NA,NA,NA,NA,NA,NA,"-","none","none",NA,NA,"425","budget","300.0","700.0",NA,NA,NA,NA,NA,NA,NA,"974.64136","784","121.0","126.0","244.0","177.0","116.0","200.0",NA,NA,NA,NA
"155","Schipperke","non-sporting",NA,"105.0",NA,NA,NA,"15.0",NA,"13.0",NA,"4.0",NA,"657.5",NA,NA,NA,"-",NA,"-",NA,NA,NA,NA,NA,NA,"small",NA,NA,"29.21","11.5",NA,NA,NA,"Excellent","5-15",">85","36.0","hair loss, diabetes, skin problems","colour dilution alopecia, Diabetes mellitus, Follicular dysplasias, Pemphigus",NA,NA,"657.5","budget","300.0","975.0",NA,NA,NA,NA,NA,NA,"12670.33768","974.64136","784","121.0","126.0","244.0","177.0","116.0","200.0",NA,NA,NA,NA
"156","Scottish Deerhound","hound",NA,"142.0",NA,NA,NA,"47.0",NA,"8.7",NA,"2.0",NA,NA,NA,NA,NA,"-",NA,"-",NA,NA,NA,NA,NA,NA,"large","41.95729423","92.5",NA,NA,NA,NA,NA,"Average","25-40",">50","300.0","heart problems, fatal stomach bloat","Dilated cardiomyopathy, Gastric dilatation-volvulus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"8479.379832","974.64136","784","121.0","126.0","244.0","177.0","116.0","200.0",NA,NA,NA,NA
"157","Sealyham Terrier","terrier",NA,"163.0",NA,NA,NA,"56.0",NA,"12.25",NA,"1.0",NA,NA,NA,NA,NA,"-",NA,"-",NA,NA,NA,NA,NA,NA,"small","10.88621688","24.0","26.67","10.5",NA,NA,NA,"Fair","40-80",">30","12.0","eye problems","Retinal dysplasia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11939.35666","974.64136","784","121.0","126.0","244.0","177.0","116.0","200.0",NA,NA,NA,NA
"158","Shiba Inu","non-sporting",NA,"53.0",NA,NA,NA,NA,NA,"7.0",NA,"1.0",NA,"890.0",NA,NA,NA,"-",NA,"-",NA,NA,NA,NA,NA,NA,"small","9.0718474","20","38.1","15",NA,NA,NA,NA,NA,NA,"3.0","hip problems","hip dysplasia",NA,NA,"890","mid-price","650.0","1400.0",NA,NA,NA,NA,NA,NA,"6822.48952","974.64136","784","121.0","126.0","244.0","177.0","116.0","200.0",NA,NA,NA,NA
"159","Silky Terrier","toy",NA,"85.0",NA,NA,NA,"37.0",NA,"14.25",NA,"0.0",NA,"447.5",NA,NA,NA,"-",NA,"-",NA,NA,NA,NA,NA,NA,"small","4.5359237","10.0","24.13","9.5",NA,NA,NA,"Above average","15-25",">70","3.0","none","none",NA,NA,"447.5","budget","250.0","500.0",NA,NA,NA,NA,NA,NA,"13888.63938","974.64136","784","121.0","126.0","244.0","177.0","116.0","200.0",NA,NA,NA,NA
"160","Skye Terrier","terrier",NA,"164.0",NA,NA,NA,"55.0",NA,"11.0",NA,"0.0",NA,"550.0",NA,NA,NA,"-",NA,"-",NA,NA,NA,NA,NA,NA,"small","18.1436948","40","24.765","9.75",NA,NA,NA,"Fair","40-80",">30","37.0","none","none",NA,NA,"550","budget","500.0","600.0",NA,NA,NA,NA,NA,NA,"10721.05496","974.64136","784","121.0","126.0","244.0","177.0","116.0","200.0",NA,NA,NA,NA
"161","Smooth Fox Terrier","terrier",NA,"113.0",NA,NA,NA,"40.0",NA,"13.17",NA,"0.0",NA,"575.0",NA,NA,NA,"-",NA,"-",NA,NA,NA,NA,NA,NA,"small","7.937866475","17.5","38.1","15.0","Longevity: All fox terriers. Size: a full-sized, well balanced dog should not exceed 15½ inches at the withers--the bitch being proportionately lower. A dog with these measurements should scale 18 pounds in show condition--a bitch weighing some two pounds less-with a margin of one pound either way.",NA,NA,"Average","25-40",">50","44.0","none","none",NA,NA,"575","budget","450.0","750.0",NA,NA,NA,NA,NA,NA,"12836.02671","974.64136","784","121.0","126.0","244.0","177.0","116.0","200.0",NA,NA,NA,NA
"162","Soft-Coated Wheaten Terrier","terrier",NA,"52.0",NA,NA,NA,"40.0",NA,"12.16",NA,"0.0",NA,"831.5",NA,NA,NA,"-",NA,"-",NA,NA,NA,NA,NA,NA,"medium","15.87573295","35","45.72","18",NA,NA,NA,"Average","25-40",">50","345.0","none","none",NA,NA,"831.5","mid-price","675.0","1000.0",NA,NA,NA,NA,NA,NA,"11851.63894","974.64136","784","121.0","126.0","244.0","177.0","116.0","200.0",NA,NA,NA,NA
"163","Spinone Italiano","sporting",NA,"123.0",NA,NA,NA,NA,NA,"9.0",NA,NA,NA,"1725.0",NA,NA,NA,"-",NA,"-",NA,NA,NA,NA,NA,NA,"large",NA,NA,"62.23","24.5","4 dogs for sale only",NA,NA,NA,NA,NA,"47.0",NA,NA,NA,NA,"1725","high-end","1100.0","2000.0",NA,NA,NA,NA,NA,NA,"8771.77224","974.64136","784","121.0","126.0","244.0","177.0","116.0","200.0",NA,NA,NA,NA
"164","Standard Schnauzer","working",NA,"91.0",NA,NA,NA,"18.0",NA,NA,NA,"1.0",NA,"855.0",NA,NA,NA,"-",NA,"-",NA,NA,NA,NA,NA,NA,"medium",NA,NA,"46.99","18.5",NA,NA,NA,"Excellent","5-15",">85","-","hip problems","hip dysplasia",NA,NA,"855","mid-price","50.0","1500.0",NA,NA,NA,NA,NA,NA,NA,"974.64136","784","121.0","126.0","244.0","177.0","116.0","200.0",NA,NA,NA,NA
"165","Sussex Spaniel","sporting",NA,"161.0",NA,NA,NA,NA,NA,"11.17",NA,"0.0",NA,NA,NA,NA,NA,"2.0",NA,"3.0",NA,NA,NA,NA,NA,NA,"small","18.1436948","40","35.56","14",NA,NA,NA,NA,NA,NA,"42.0","none","none",NA,NA,NA,NA,NA,NA,"5.75","4.0","7.5","7.14819875",NA,"4166.132317","10886.74399","974.64136","784","121.0","126.0","244.0","177.0","116.0","200.0",NA,NA,NA,NA
"166","Swedish Vallhund","herding",NA,"153.0",NA,"22839.0",NA,NA,NA,"14.17",NA,NA,NA,"772.222222222222",NA,NA,NA,"2.0",NA,"1.0",NA,NA,NA,NA,NA,NA,"small",NA,NA,"31.75","12.5",NA,NA,NA,NA,NA,NA,"7.0",NA,NA,"18459.4522",NA,"772.2222222","mid-price","550.0","1000.0","4","4.0","4.0","4.97266",NA,"3676.561905","13810.66807","974.64136","784","121.0","126.0","244.0","177.0","116.0","200.0",NA,NA,NA,NA
"167","Tibetan Mastiff","working",NA,"122.0",NA,"23747.0",NA,NA,NA,"11.92",NA,NA,NA,"3460.0",NA,NA,NA,"2.0",NA,"1.0",NA,NA,NA,NA,NA,NA,"large",NA,NA,"63.5","25","5 dogs for sale only",NA,NA,NA,NA,NA,"10.0",NA,NA,"19723.58868",NA,"3460","high-end","800.0","6500.0","5.75","4.0","7.5","7.14819875",NA,"4445.863672","11617.72501","974.64136","784","121.0","126.0","244.0","177.0","116.0","200.0",NA,NA,NA,NA
"168","Toy Fox Terrier","toy",NA,"101.0",NA,NA,NA,NA,NA,NA,NA,NA,NA,"460.0",NA,NA,NA,"-",NA,"-",NA,NA,NA,NA,NA,NA,"small",NA,NA,"25.4","10",NA,NA,NA,NA,NA,NA,"-",NA,NA,NA,NA,"460","budget","200.0","650.0",NA,NA,NA,NA,NA,NA,NA,"974.64136","784","121.0","126.0","244.0","177.0","116.0","200.0",NA,NA,NA,NA
"169","Vizsla","sporting",NA,"37.0",NA,NA,NA,"25.0",NA,"12.5",NA,"0.0",NA,"934.5",NA,NA,NA,"-",NA,"-",NA,NA,NA,NA,NA,NA,"medium",NA,NA,"57.15","22.5",NA,NA,NA,"Excellent","5-15",">85","6.0","none","none",NA,NA,"934.5","mid-price","800.0","1200.0",NA,NA,NA,NA,NA,NA,"12183.017","974.64136","784","121.0","126.0","244.0","177.0","116.0","200.0",NA,NA,NA,NA
"170","Weimaraner","sporting",NA,"32.0",NA,NA,NA,"21.0",NA,NA,NA,"1.0",NA,"562.0",NA,NA,NA,"2.0",NA,"1.0",NA,NA,NA,NA,NA,NA,"large",NA,NA,"63.5","25",NA,NA,NA,"Excellent","5-15",">85","-","hip problems","hip dysplasia",NA,NA,"562","budget","300.0","900.0","5.75","4.0","7.5","7.14819875",NA,NA,NA,"974.64136","784","121.0","126.0","244.0","177.0","116.0","200.0",NA,NA,NA,NA
"171","Welsh Terrier","terrier",NA,"99.0",NA,NA,NA,"53.0",NA,NA,NA,"0.0",NA,"842.5",NA,NA,NA,"2.0",NA,"1.0",NA,NA,NA,NA,NA,NA,"small","9.0718474","20.0","38.1","15.0",NA,NA,NA,"Average","25-40",">50","-","none","none",NA,NA,"842.5","mid-price","575.0","1250.0","4","4.0","4.0","4.97266",NA,NA,NA,"974.64136","784","121.0","126.0","244.0","177.0","116.0","200.0",NA,NA,NA,NA
"172","Wire Fox Terrier","terrier",NA,"100.0",NA,NA,NA,"51.0",NA,"13.17",NA,"0.0",NA,"667.5",NA,NA,NA,"-",NA,"-",NA,NA,NA,NA,NA,NA,"small","7.937866475","17.5","38.1","15.0","Longevity: All fox terriers. Should not exceed 15½ inches tall at the shoulder and 18 pounds.",NA,NA,"Average","25-40",">50","44.0","none","none",NA,NA,"667.5","budget","175.0","1600.0",NA,NA,NA,NA,NA,NA,"12836.02671","974.64136","784","121.0","126.0","244.0","177.0","116.0","200.0",NA,NA,NA,NA
"173","Wirehaired Pointing Griffon","sporting",NA,"92.0",NA,NA,NA,"46.0",NA,"8.8",NA,"0.0",NA,"755.0",NA,NA,NA,"-",NA,"-",NA,NA,NA,NA,NA,NA,"medium",NA,NA,"55.88","22",NA,NA,NA,"Average","25-40",">50","16.0","none","none",NA,NA,"755","mid-price","750.0","800.0",NA,NA,NA,NA,NA,NA,"8576.843968","974.64136","784","121.0","126.0","244.0","177.0","116.0","200.0",NA,NA,NA,NA
"174","Xoloitzcuintli","non-sporting",NA,"155.0",NA,NA,NA,NA,NA,NA,NA,NA,NA,"716.666666666667",NA,NA,NA,"-",NA,"-",NA,NA,NA,NA,NA,NA,"medium",NA,NA,"41.91","16.5",NA,NA,NA,NA,NA,NA,"-",NA,NA,NA,NA,"716.6666667","mid-price","300.0","2000.0",NA,NA,NA,NA,NA,NA,NA,"974.64136","784","121.0","126.0","244.0","177.0","116.0","200.0",NA,NA,NA,NA
